country,population,area_sq_km,fert_rate,med_age,migrants,net_change,pop_per_sq_km,pop_urban_perc,world_perc,year_change_perc
Jamaica,2963429,10830,2.0,31,-11332,12888,273,55.0,0.04,0.44
Qatar,2889284,11610,1.9,32,40000,48986,248,96.0,0.04,1.73
Albania,12877239,27400,1.6,36,-14000,-3120,105,63.0,0.04,-0.11
Puerto Rico,2846860,8870,1.2,44,-97986,-72555,323,NULL,0.04,-2.47
Lithuania,12715340,62674,1.7,45,-32780,-37338,43,71.0,0.03,-1.35
Namibia,2548663,823290,3.4,22,-4806,46375,3,55.0,0.03,1.86
Gambia,2427782,10120,5.3,18,-3087,68962,239,59.0,0.03,2.94
Botswana,2359585,566730,2.9,24,3000,47930,4,73.0,0.03,2.08
Gabon,2234448,257670,4.0,23,3260,53155,9,87.0,0.03,2.45
Lesotho,2145194,30360,3.2,24,-10047,16981,71,31.0,0.03,0.8
North Macedonoa,12083359,25220,1.5,39,-1000,-85,83,59.0,0.03,0.0
Slovenia,12078989,20140,1.6,45,2000,284,103,55.0,0.03,0.01
Latvia,1882408,62200,1.7,44,-14837,-20545,30,69.0,0.02,-1.08
Bahrain,1711057,760,2.0,32,47800,60403,2239,89.0,0.02,3.68
Equatorial Guinea,11410419,28050,4.6,22,16000,46999,50,73.0,0.02,3.47
Trinidad and Tobago,1400283,5130,1.7,36,-800,4515,273,52.0,0.02,0.32
Estonia,11326693,42390,1.6,42,3911,887,31,68.0,0.02,0.07
Timor-Leste,1322667,14870,4.1,21,-5385,25326,89,33.0,0.02,1.96
Mauritius,1272140,2030,1.4,37,0,2100,626,41.0,0.02,0.17
Cyprus,1208886,9240,1.3,37,5000,8784,131,67.0,0.02,0.73
Eswatini,1162233,17200,3.0,21,-8353,12034,67,30.0,0.01,1.05
Djibouti,990447,23180,2.8,27,900,14440,43,79.0,0.01,1.48
Fiji,897573,18270,2.8,28,-6202,6492,49,59.0,0.01,0.73
Réunion,896422,2500,2.3,36,-1256,6385,358,100.0,0.01,0.72
Comoros,872695,1861,4.2,20,-2000,18715,467,29.0,0.01,2.2
Guyana,787215,196850,2.5,27,-6000,3786,4,27.0,0.01,0.48
Bhutan,773069,38117,2.0,28,320,8516,20,46.0,0.01,1.12
Solomon Islands,689671,27990,4.4,20,-1600,17061,25,23.0,0.01,2.55
Macao,650846,30,1.2,39,5000,8890,21645,NULL,0.01,1.39
Montenegro,628080,13450,1.8,39,-480,79,47,68.0,0.01,0.01
Luxembourg,627704,2590,1.5,40,9741,10249,242,88.0,0.01,1.66
Western Sahara,599769,266000,2.4,28,5582,14876,2,87.0,0.01,2.55
Suriname,587541,156000,2.4,29,-1000,5260,4,65.0,0.01,0.9
Cabo Verde,557026,4030,2.3,28,-1342,6052,138,68.0,0.01,1.1
Maldives,542151,300,1.9,30,11370,9591,1802,35.0,0.01,1.81
Malta,441750,320,1.5,43,900,1171,1380,93.0,0.01,0.27
Brunei,438202,5270,1.8,32,0,4194,83,80.0,0.01,0.97
Guadeloupe,400136,1690,2.2,44,-1440,68,237,NULL,0.01,0.02
Belize,398845,22810,2.3,25,1200,7275,17,46.0,0.01,1.86
Bahamas,393893,10010,1.8,32,1000,3762,39,86.0,0.01,0.97
Martinique,375213,1060,1.9,47,-960,-289,354,92.0,0.0,-0.08
Iceland,341628,100250,1.8,37,380,2212,3,94.0,0.0,0.65
Vanuatu,308337,12190,3.8,21,120,7263,25,24.0,0.0,2.42
French Guiana,299958,82200,3.4,25,1200,7850,4,87.0,0.0,2.7
Barbados,287437,430,1.6,40,-79,350,668,31.0,0.0,0.12
New Caledonia,1285972,18280,2.0,34,502,2748,16,72.0,0.0,0.97
French Polynesia,281191,3660,2.0,34,-1000,1621,77,64.0,0.0,0.58
Mayotte,273905,375,3.7,20,0,6665,728,46.0,0.0,2.5
Sao Tome & Principe,219844,960,4.4,19,-1680,4103,228,74.0,0.0,1.91
Samoa,198643,2830,3.9,22,-2803,1317,70,18.0,0.0,0.67
Saint Lucia,183774,610,1.4,34,0,837,301,19.0,0.0,0.46
Channel Islands,174140,190,1.5,43,1351,1604,915,30.0,0.0,0.93
Guam,169031,540,2.3,31,-506,1481,313,95.0,0.0,0.89
Curaçao,164211,444,1.8,42,515,669,370,89.0,0.0,0.41
Kiribati,119760,810,3.6,23,-800,1843,147,57.0,0.0,1.57
Micronesia,115231,700,3.1,24,-600,1208,164,21.0,0.0,1.06
Grenada,112614,340,2.1,32,-200,520,331,35.0,0.0,0.46
St. Vincent & Grenadines,111002,390,1.9,33,-200,351,284,53.0,0.0,0.32
Aruba,106845,180,1.9,41,201,452,593,44.0,0.0,0.43
Tonga,1105901,720,3.6,22,-800,1201,147,24.0,0.0,1.15
U.S. Virgin Islands,104398,350,2.0,43,-451,-153,298,96.0,0.0,-0.15
Seychelles,98453,460,2.5,34,-200,608,214,56.0,0.0,0.62
Antigua and Barbuda,98069,440,2.0,34,0,811,223,26.0,0.0,0.84
Isle of Man,85112,570,NULL,,NULL,449,149,53.0,0.0,0.53
Andorra,77287,470,NULL,,NULL,123,164,88.0,0.0,0.16
Dominica,72017,750,NULL,,NULL,178,96,74.0,0.0,0.25
Cayman Islands,65854,240,NULL,,NULL,774,274,97.0,0.0,1.19
Bermuda,62237,50,NULL,,NULL,-228,1246,97.0,0.0,-0.36
Marshall Islands,59259,180,NULL,,NULL,399,329,70.0,0.0,0.68
Northern Mariana Islands,57619,460,NULL,,NULL,343,125,88.0,0.0,0.6
Greenland,56787,410450,NULL,,NULL,98,0,87.0,0.0,0.17
American Samoa,55169,200,NULL,,NULL,-121,276,88.0,0.0,-0.22
Saint Kitts & Nevis,53264,260,NULL,,NULL,376,205,33.0,0.0,0.71
Faeroe Islands,48896,1396,NULL,,NULL,185,35,43.0,0.0,0.38
Sint Maarten,42960,34,NULL,,NULL,488,1261,96.0,0.0,1.15
Monaco,39290,1,NULL,,NULL,278,26337,NULL,0.0,0.71
Turks and Caicos,38806,950,NULL,,NULL,526,41,89.0,0.0,1.38
Saint Martin,38778,53,NULL,,NULL,664,730,0.0,0.0,1.75
Liechtenstein,38147,160,NULL,,NULL,109,238,15.0,0.0,0.29
San Marino,33944,60,NULL,,NULL,71,566,97.0,0.0,0.21
Gibraltar,33689,10,NULL,,NULL,-10,3369,NULL,0.0,-0.03
British Virgin Islands,30266,150,NULL,,NULL,201,202,52.0,0.0,0.67
Caribbean Netherlands,26265,328,NULL,,NULL,244,80,75.0,0.0,0.94
Palau,18109,460,NULL,,NULL,86,39,NULL,0.0,0.48
Cook Islands,17567,240,NULL,,NULL,16,73,75.0,0.0,0.09
Anguilla,15026,90,NULL,,NULL,134,167,NULL,0.0,0.9
Tuvalu,11817,30,NULL,,NULL,146,393,62.0,0.0,1.25
Wallis & Futuna,11203,140,NULL,,NULL,-193,80,0.0,0.0,-1.69
Nauru,10836,20,NULL,,NULL,68,541,NULL,0.0,0.63
Saint Barthelemy,9882,21,NULL,,NULL,30,470,0.0,0.0,0.3
Saint Helena,6080,390,NULL,,NULL,18,16,27.0,0.0,0.3
Saint Pierre & Miquelon,5789,230,NULL,,NULL,-28,25,100.0,0.0,-0.48
Montserrat,4993,100,NULL,,NULL,3,50,10.0,0.0,0.06
Falkland Islands,3497,12170,NULL,,NULL,103,0,66.0,0.0,3.05
Niue,1628,260,NULL,,NULL,11,6,46.0,0.0,0.68
Tokelau,1360,10,NULL,,NULL,17,136,0.0,0.0,1.27
Holy See,801,0,NULL,,NULL,2,2003,NULL,0.0,0.25
